protein	compound	aveaffinty
CHEMBL1293229	CHEMBL1342384	21753
CHEMBL1293229	CHEMBL1303417	46220
CHEMBL1293229	CHEMBL1301906	87983
CHEMBL1293229	CHEMBL1350226	38754
CHEMBL1293229	CHEMBL1384044	23711
CHEMBL1293229	CHEMBL1479248	69092
CHEMBL1293229	CHEMBL1613004	79051
CHEMBL1293229	CHEMBL1353227	12477
CHEMBL1293229	CHEMBL1305391	8499.2
CHEMBL1293229	CHEMBL1580036	16028
CHEMBL1293229	CHEMBL1550490	60661
CHEMBL1293229	CHEMBL1417890	18864
CHEMBL1293229	CHEMBL1461683	63228
CHEMBL1293229	CHEMBL1504516	71022
CHEMBL1293229	CHEMBL1377510	41837
CHEMBL1293229	CHEMBL1377708	34600
CHEMBL1293229	CHEMBL1305221	59295
CHEMBL1293229	CHEMBL1337575	16524
CHEMBL1293229	CHEMBL1375161	33831
CHEMBL1293229	CHEMBL1541229	28488
CHEMBL1293229	CHEMBL1518374	12045
CHEMBL1293229	CHEMBL1426027	16498
CHEMBL1293229	CHEMBL1416882	60513
CHEMBL1293229	CHEMBL1575787	558.14
CHEMBL1293229	CHEMBL1375737	56586
CHEMBL1293229	CHEMBL1995948	18337
CHEMBL1293229	CHEMBL1412226	70442
CHEMBL1293229	CHEMBL1469796	91498
CHEMBL1293229	CHEMBL1509453	11413
CHEMBL1293229	CHEMBL1510817	72499
CHEMBL1293229	CHEMBL408994	6933.8
CHEMBL1293229	CHEMBL1391256	7529.5
CHEMBL1293229	CHEMBL1381627	492.62
CHEMBL1293229	CHEMBL1447311	36585
CHEMBL1293229	CHEMBL1535180	73350
CHEMBL1293229	CHEMBL1330946	40771
CHEMBL1293229	CHEMBL1426947	4055.9
CHEMBL1293229	CHEMBL1570005	29109
CHEMBL1293229	CHEMBL1345363	23743
CHEMBL1293229	CHEMBL1500099	71195
CHEMBL1293229	CHEMBL1386397	3810.8
CHEMBL1293229	CHEMBL1361703	10713
CHEMBL1293229	CHEMBL1496995	86493
CHEMBL1293229	CHEMBL1365170	25495
CHEMBL1293229	CHEMBL1449293	73614
CHEMBL1293229	CHEMBL1299837	90586
CHEMBL1293229	CHEMBL1449334	19357
CHEMBL1293229	CHEMBL1328182	66808
CHEMBL1293229	CHEMBL1392628	69209
CHEMBL1293229	CHEMBL1412087	43833
CHEMBL1293229	CHEMBL1504655	783.41
